WEEK;WeekBeginning;Borrowings;ItemsReturned ;NumberOfVisitors;NewMembers ;ComputerBookings;ProgramAttendees;InnoLabAttendeesOnly;Notes
1;07/02/2014 - 16/02/2014;15201;6755;14959;379;1706;281;0;Opening week - 10 days
2;17/02/2014;8814;5390;8441;224;1362;230;93;
3;24/02/2014;8686;5406;7866;175;1377;585;291;
4;03/03/2014;8323;5954;7677;134;1368;241;116;
5;10/03/2014;8836;5561;6214;106;1326;252;157;Public holiday 10 March
6;17/03/2014;8509;5782;7263;137;1452;173;61;
7;24/03/2014;8632;5401;6789;96;1397;231;124;
8;31/03/2014;8818;6375;7249;103;1413;295;112;
9;07/04/2014;9155;6081;6589;97;1424;229;123;
10;14/04/2014;7664;4906;5196;88;1072;163;77;Public holiday 18/19 April
11;21/04/2014;8137;5566;4867;57;720;218;167;Public holiday 21/25 April
12;28/04/2014;8425;6337;6917;86;1339;306;127;
13;05/05/2014;8604;6029;6547;92;1253;212;55;
14;12/05/2014;8444;5768;7327;96;1337;460;134;some City Library PCs may have been logged in as the wrong centre on 16/5, affecting some circ stats. CR
15;19/05/2014;8649;5794;6807;101;1314;506;116;
16;26/05/2014;8504;5905;6562;74;1321;463;141;
17;02/06/2014;8817;6564;6438;75;1364;358;131;
18;09/06/2014;7525;5561;5605;62;1175;284;78;Public holiday 9 June
19;16/06/2014;8608;5871;6474;122;1353;282;95;
20;23/06/2014;8143;5791;6103;72;1296;262;131;
21;30/06/2014;9068;5922;6584;101;1313;416;166;
22;07/07/2014;9187;6073;6888;113;1480;358;201;
23;14/07/2014;9048;5924;7079;87;1507;297;181;
24;21/07/2014;8514;6032;6600;80;1447;235;93;
25;28/07/2014;8284;5813;7465;83;1490;523;262;
26;04/08/2014;8845;6080;7501;113;1616;243;80;
27;11/08/2014;8572;5870;7162;89;1467;198;85;
28;18/08/2014;8272;5819;6793;78;1439;239;115;
29;25/08/2014;8314;5380;6785;72;1411;185;61;
30;01/09/2014;7825;5354;6700;72;1305;246;77;
31;08/09/2014;8547;5401;6860;65;1166;238;95;Public internet down 12-14 September, affecting PC bookings
32;15/09/2014;8072;5839;6878;69;1343;200;74;
33;22/09/2014;8893;5960;6968;98;1339;199;74;
34;29/09/2014;8718;5578;7266;76;1338;194;68;
35;06/10/2014;7955;5618;6595;67;1236;327;106;Public holiday 6 October
36;13/10/2014;7885;5880;6879;83;1359;163;54;
37;20/10/2014;8018;5350;7474;72;1160;235;53;
38;27/10/2014;7689;5393;7109;96;1459;145;35;
39;03/11/2014;8064;5349;6914;78;1271;309;103;
40;10/11/2014;7996;5700;6786;82;1231;260;101;
41;17/11/2014;7752;5378;6602;88;1300;233;50;
42;24/11/2014;7623;5505;6960;69;1429;212;23;NOTE: all stats double checked up to this week, some old Progs/Inno Lab/Customer Feedback stats were missing. CR
43;01/12/2014;8188;5166;6618;88;1314;317;76;
44;08/12/2014;7977;5568;6642;82;1419;159;81;
45;15/12/2014;8613;5764;6357;67;1302;316;114;
46;22/12/2014;5235;3848;3729;42;795;79;42;Public holiday 25/26 December
47;29/12/2014;6354;4626;5173;47;1297;142;55;Public holiday 1 January
48;05/01/2015;7430;4974;6537;98;1381;152;94;
49;12/01/2015;8213;5206;7217;96;1445;659;105;
50;19/01/2015;8412;6345;7244;84;1514;156;65;
51;26/01/2015;7943;5042;6285;84;1402;157;32;to be carried over once up to date
52;02/02/2015 - 06/02/2015;5825;4852;5891;95;1328;334;59;Public holiday 26 January / NOTE: all stats double checked up to this week CR
