,Jobs MALES 2011-12,Jobs MALES 2012-13,Jobs MALES 2013-14,Jobs MALES 2014-15,Jobs MALES 2015-16,Jobs FEMALES 2011-12,Jobs FEMALES 2012-13,Jobs FEMALES 2013-14,Jobs FEMALES 2014-15,Jobs FEMALES 2015-16,Jobs PERSONS 2011-12,Jobs PERSONS 2012-13,Jobs PERSONS 2013-14,Jobs PERSONS 2014-15,Jobs PERSONS 2015-16,Income MALES 2011-12,Income MALES 2012-13,Income MALES 2013-14,Income MALES 2014-15,Income MALES 2015-16,Income FEMALES 2011-12,Income FEMALES 2012-13,Income FEMALES 2013-14,Income FEMALES 2014-15,Income FEMALES 2015-16,Income PERSONS 2011-12,Income PERSONS 2012-13,Income PERSONS 2013-14,PERSONS 2014-15,PERSONS 2015-16
"Agriculture, forestry and fishing",293.725,291.565,287.856,292.065,296.143,137.791,131.393,130.043,134.698,141.34,431.517,422.951,417.903,426.763,437.482,5230,5485,6240,6890.5,7500,3701,4233,4743,4911,5404.5,4651,5006,5598,6021,6626
Mining,202.266,207.305,204.378,189.835,172.627,41.874,43.2,40.934,35.94,33.357,244.138,250.511,245.314,225.779,205.981,88121.5,101455,109750,114069,117064,55355,64999,71387,77072,76322,81078,93639,102171.5,107362.5,110071
Manufacturing,788.615,786.296,758.974,748.812,729.746,310.907,309.518,299.28,298.073,295.05,1099.523,1095.816,1058.256,1046.885,1024.802,45433,46366,48889,49992,51225,25133,25846,27762,28092,28393,39391,40130,42637,43559,44496
"Electricity, gas, water and waste services",104.011,105.325,107.848,108.446,101.04,32.559,32.911,33.353,33.742,32.068,136.578,138.236,141.204,142.189,133.107,76430,77855.5,79302,79590.5,83146,52754,54740,55346,57397.5,60540.5,69426,70970,72527,73198.5,76581.5
Construction,985.303,1023.254,1031.887,1062.12,1051.17,182.618,182.565,183.94,186.601,174.392,1167.921,1205.816,1215.833,1248.717,1225.557,34783,35735,35159,36187,36132,22980,25000,23009,24440,25057,32589,33816,32996,34113,34389
Wholesale trade,427.317,433.557,440.411,444.538,439.483,245.242,247.425,243.027,248.696,250.067,672.558,680.98,683.44,693.236,689.547,43917,45744,47448.5,48606,49568,26932,28109,30161,30426,30946.5,37612,39230,41249,42000,42719
Retail trade,687.771,695.028,693.805,705.834,696.422,927.229,934.287,932.293,930.386,920.742,1615.004,1629.315,1626.1,1636.211,1617.168,17237,18792,19828,21125,21899,11510,12325,13331,14320,15116,13500,14574,15603,16768,17572
Accommodation and food services,558.169,564.522,589.782,611.734,625.653,689.171,696.924,721.989,749.063,760.462,1247.336,1261.438,1311.769,1360.799,1386.111,7095,7486,7711,8020,8427,5621,5831,6065,6308,6560,6202,6486,6723,7000,7312
"Transport, postal and warehousing",496.232,508.106,516.646,508.461,496.509,158.251,159.445,159.73,157.668,151.662,654.48,667.546,676.375,666.137,648.166,40665,42919,44844,45373,44401,29260,32340,33158,33901,34385,37050,39585,41190,41645,41212
Information media and telecommunications,155.758,153.169,154.11,150.636,155.866,121.161,120.363,118.236,114.807,118.543,276.916,273.537,272.348,265.439,274.411,44786.5,44403,43676.5,46184,44999,25246,24072,24475,26218,25633.5,34617,33404.5,33121,35631,34391
Finance and insurance services,314.08,306.63,315.383,326.575,339.424,352.437,346.055,336.577,348.701,363.226,666.511,652.679,651.955,675.28,702.645,43128,44068,45302,45934,46341,31471,31837.5,34919,35931,35687,35594,36101,38699,40032,40084
"Rental, hiring and real estate services",151.839,152.682,153.878,165.455,170.191,150.985,153.781,159.665,169.171,174.029,302.827,306.461,313.538,334.624,344.216,26804,26568,28608.5,29542,30938.5,17590,18200,19806,20797.5,21857,21346,21725,23317,24263.5,25556
"Professional, scientific and technical services",667.626,669.813,679.811,695.959,708.184,571.645,554.301,575.015,590.406,595.192,1239.269,1224.117,1254.817,1286.365,1303.376,44529,48810.5,49427,48033,48765,20995,24690,23953,25221,26716,31552,35784,35436,35553,36680
Administrative and support services,801.317,796.607,793.67,837.476,860.064,642.309,645.801,624.943,657.347,671.266,1443.625,1442.408,1418.613,1494.826,1531.329,10618,11378,11792,11585,12124,8461,9178,10085,10214,10665,9588,10303,10983,10948,11447
Public administration and safety,522.885,571.006,560.234,552.378,537.094,459.921,503.157,511.278,499.964,463.409,982.807,1074.163,1071.51,1052.344,1000.498,59839,57252,60347.5,63112,69106,45947,44402,43458,45961,53974.5,53406,51269,52513,55218,62109.5
Education and training,417.097,424.625,426.315,428.529,438.712,921.756,963.794,980.401,973.524,1001.572,1338.856,1388.419,1406.722,1402.054,1440.284,27169.5,26053,26514,27228,28343,24606,23579,24590,26771,28703,25165,24113,24953,26869,28615
Health care and social assistance,376.159,390.876,388.043,398.144,410.847,1336.705,1415.948,1434.74,1465.285,1508.783,1712.868,1806.83,1822.786,1863.429,1919.63,42612.5,42240,45835.5,46904.5,48599.5,30038,29550,31927,33272,35161,32071,31550,34129,35400,37305
Arts and recreation services,154.339,159.338,159.74,161.998,162.567,160.43,166.767,167.138,172.453,171.885,314.774,326.109,326.879,334.453,334.452,7560,8099,8614,9079,10048.5,5248,5401,5851,6188,6800,6183,6500,6967,7359,8106
Other services,277.101,276.539,281.872,285.767,291.702,272.583,280.486,293.371,301.586,309.511,549.692,557.033,575.237,587.348,601.215,23447.5,23587.5,24135,24143.5,24115,14204.5,14924,15240,15510,16096,18039.5,18541,18919,19033,19369.5
